Dest,DestCode,Origin,OriginCode,Migrants
Algeria,DZA,Lesotho,LSO,18.40
Algeria,DZA,Liberia,LBR,52.90
Algeria,DZA,Libyan Arab Jamahiriya,LBY,1829.65
Algeria,DZA,Liechtenstein,LIE,2.00
Algeria,DZA,Lithuania,LTU,126.00
Algeria,DZA,Luxembourg,LUX,18.00
Algeria,DZA,Macau,MAC,39.00
Algeria,DZA,"Macedonia, the former Yugoslav Republic of",MKD,94.00
Algeria,DZA,Madagascar,MDG,79.35
Algeria,DZA,Malawi,MWI,63.25
Algeria,DZA,Malaysia,MYS,1231.00
Algeria,DZA,Maldives,MDV,2.00
Algeria,DZA,Mali,MLI,729.10
Algeria,DZA,Malta,MLT,63.00
Algeria,DZA,Marshall Islands,MHL,4.00
