HostCode,TargetCode,Amount
AGO,LIE,960.00
AGO,LTU,39360.00
AGO,LUX,28800.00
AGO,MAC,1920.00
AGO,MKD,30720.00
AGO,MDG,149799.00
AGO,MWI,458068.00
AGO,MYS,15360.00
AGO,MLI,41860.00
AGO,MLT,14400.00
AGO,MRT,2990.00
AGO,MUS,251459.00
AGO,MYT,1495.00
AGO,MEX,211200.00
AGO,MDA,86400.00
AGO,MCO,1920.00
AGO,MAR,225216.00
AGO,MOZ,2393196.00
AGO,MMR,5760.00
AGO,NAM,75348.00
AGO,NPL,17280.00
AGO,NLD,96000.00
AGO,ANT,1920.00
AGO,NZL,19200.00
AGO,NIC,17457.37
AGO,NER,13455.00
AGO,NGA,120086.91
AGO,NOR,22080.00
AGO,PAK,235200.00
AGO,PSE,18240.00
AGO,PAN,4800.00
AGO,PRY,9600.00
AGO,PER,16320.00
AGO,PHL,70080.00
AGO,POL,249600.00
AGO,PRT,1492800.00
AGO,PRI,37440.00
AGO,ROM,633600.00
AGO,RUS,1581120.00
AGO,RWA,15548.00
AGO,KNA,960.00
AGO,LCA,960.00
AGO,VCT,960.00
AGO,WSM,960.00
AGO,SMR,960.00
AGO,STP,1196.00
AGO,SAU,1920.00
AGO,SEN,15249.00
AGO,SCG,199680.00
AGO,SYC,24817.00
AGO,SLE,2392.00
AGO,SGP,5760.00
AGO,SVK,61440.00
AGO,SVN,13440.00
AGO,SOM,33488.00
AGO,ZAF,1363739.00
AGO,ESP,820800.00
AGO,LKA,17280.00
AGO,SDN,14950.00
AGO,SUR,5760.00
AGO,SWZ,40365.00
AGO,SWE,35520.00
AGO,CHE,254400.00
AGO,SYR,7680.00
AGO,TWN,11520.00
AGO,TJK,18240.00
AGO,TZA,596206.00
AGO,THA,16320.00
AGO,TGO,5083.00
AGO,TTO,7680.00
AGO,TUN,46080.00
AGO,TUR,57600.00
AGO,TKM,5760.00
AGO,UGA,14950.00
AGO,UKR,768960.00
AGO,ARE,960.00
AGO,GBR,624960.00
AGO,USA,172800.00
AGO,URY,5760.00
AGO,UZB,50880.00
AGO,VEN,7680.00
AGO,VNM,42240.00
AGO,VIR,1920.00
AGO,YEM,10560.00
AGO,ZMB,621621.00
AGO,ZWE,1081483.00
AIA,AFG,960.00
AIA,ALB,1920.00
AIA,ATG,5376.00
AIA,ABW,1344.00
AIA,AUT,9600.00
AIA,BHS,3136.00
AIA,BGD,960.00
AIA,BRB,8512.00
AIA,BLR,5760.00
AIA,BEL,9600.00
AIA,BIH,3840.00
AIA,BRA,448.00
AIA,BGR,2880.00
AIA,CAN,96000.00
AIA,CYM,448.00
AIA,CHN,1920.00
AIA,COL,1344.00
AIA,HRV,1920.00
AIA,CUB,86912.00
AIA,CZE,4800.00
AIA,DNK,4800.00
AIA,DMA,4032.00
AIA,DOM,409947.67
AIA,EST,960.00
AIA,FIN,960.00
AIA,FRA,57600.00
AIA,DEU,14400.00
AIA,GRC,2880.00
AIA,GRD,6272.00
AIA,GLP,448.00
AIA,GUY,93408.00
AIA,HTI,71232.00
AIA,HUN,960.00
AIA,IND,1920.00
AIA,IRL,2880.00
AIA,ITA,10560.00
AIA,JAM,146496.00
AIA,KAZ,960.00
AIA,LVA,960.00
AIA,LTU,960.00
AIA,MKD,960.00
AIA,MTQ,448.00
AIA,MEX,1344.00
AIA,MDA,1920.00
AIA,MSR,88704.00
