TargetCode,HostCode,Amount
GNQ, ESP ,62568515.06
ISR, CAN ,62543870.53
BEN, NGA ,62025793.26
ARG, CAN ,62015826.6
ROM, TKM ,61873849.41
TZA, FRA ,61834956.11
OMN, BHR ,61830790.89
AZE, DEU ,61640274.22
BGD, JOR ,61536116.66
NER, IRL ,61444743.95
SWZ, ESP ,61266333.58
IRN, NLD ,61138758.31
MYS, NZL ,61101962.85
MOZ, AUS ,60947911.28
SGP, AUT ,60408085.87
MSR, CAN ,59783077.89
PHL, DNK ,59572604.9
FRA, MDG ,59352512.47
VGB, LBY ,59242758.75
JPN, KOR ,59136741.09
AUS, DEU ,58857299.08
ESP, SWE ,58554463.47
CPV, FRA ,58455996.76
IDN, DEU ,58285037.2
AUT, FRA ,58231594.8
LTU, ESP ,58070333.6
QAT, CZE ,57997070.81
TJK, CAN ,57982157.65
IND, SWE ,57961452.04
NER, DEU ,57927346.39
BIH, DNK ,57901893.68
ROM, LTU ,57889916.12
FIN, BEL ,57852520.71
ETH, CAN ,57835478.78
DNK, ESP ,57800616.72
PSE, ISR ,57796070.33
STP, GBR ,57702547.44
SYC, GBR ,57702547.44
FRA, IRL ,57360219.62
SLB, CAN ,57248763.29
SEN, FRA ,56766517.08
TUV, USA ,56599378.25
BRA, CHE ,56516666.39
ROM, POL ,56497305.6
CIV, ITA ,56136590.24
IND, NLD ,56108609.6
AZE, KAZ ,56046418.07
IRN, AUS ,55902554.39
SWE, TUR ,55761409.69
GIN, FRA ,55752829.28
CUB, ITA ,55740654.49
CAN, JPN ,55637728.41
MCO, FRA ,55501046.57
IND, BEL ,55281265.02
CHL, FRA ,55245985.37
GHA, CAN ,55239262.76
CHE, CAN ,55151255.44
EST, FIN ,55118182.87
SWZ, GBR ,55079704.37
DNK, AUS ,54994390.15
USA, AUS ,54994390.15
ERI, SAU ,54869475.68
TLS, FRA ,54739141.47
AFG, TJK ,54543426.66
ROM, ITA ,54536690.54
MLI, ESP ,54404504.22
IRN, ARE ,54360552.7
TUN, KAZ ,54328520.2
DZA, BEL ,54305925.77
COD, DEU ,54043492.51
IRQ, NOR ,53830296.97
GTM, CAN ,53750472.22
PER, AUT ,53622759.96
AUS, JPN ,53569339.17
QAT, IRL ,53264405.14
ITA, BRA ,53154813.04
BLR, ISR ,53140275.78
ETH, DEU ,53133794.43
DZA, DEU ,53124306.08
VEN, SWE ,53011708.9
OMN, DNK ,52915342.81
EGY, DEU ,52647384.43
ZAF, DOM ,52644900.94
CPV, USA ,52553353.87
ARE, NOR ,52540158.45
FRA, COD ,52521278.93
DMA, GBR ,52486106.66
LUX, BEL ,52481903.14
ZMB, USA ,52467067.81
MWI, GBR ,52456861.31
BRB, CAN ,52449919.57
ARG, ISR ,52177007.94
CZE, CHE ,51947406.28
IND, IRL ,51889516.11
MLT, USA ,51855373.19
ATG, USA ,51776101.25
GBR, SGP ,51508684.23
MKD, AUT ,51458739.81
ARM, UKR ,51065055.5
DZA, ISR ,50974528.58
POL, VEN ,50913200.12
BEL, CHE ,50613487.76
MOZ, IND ,50527718.89
BRA, AUS ,50453568.94
ZAF, CAN ,50310852.7
USA, ARG ,49827237.13
MOZ, GBR ,49687841.59
VCT, UGA ,49686709.29
CYP, GRC ,49673215.87
ARE, SWE ,49553724.24
ZAF, ECU ,49360582.17
LBR, GIN ,49253552.87
TUN, ISR ,49126659.78
GBR, SAU ,48948115.45
CHE, SWE ,48864807.92
GHA, NGA ,48363883.97
COL, GBR ,48019452.53
ROM, AZE ,48006800.48
LVA, DEU ,47971454.94
IDN, CAN ,47954212.18
KHM, THA ,47760332.01
ARG, ITA ,47754766.88
TUN, ITA ,47715446.36
AGO, FRA ,47643326.84
HUN, AUS ,47628169.08
NPL, CHE ,47429994.59
LUX, FRA ,47342176.53
CAN, NZL ,47222026.36
BRA, NLD ,47217715.64
DEU, NOR ,47207341.53
DEU, ISR ,47192096.87
BEL, TUR ,47060285.1
ITA, VEN ,46963210.64
PER, NOR ,46881752.59
BGR, CAN ,46790559.8
GBR, JOR ,46508142.44
AFG, DNK ,46466052.39
NPL, NZL ,46415566.13
ITA, NLD ,46192102.79
ECU, CAN ,46152506.71
SAU, GMB ,46099666.65
GEO, DEU ,45774522.55
TLS, DEU ,45670557.05
GMB, ESP ,45643055.99
VEN, NLD ,45365937.45
SLB, SWE ,45229327.55
AUT, ESP ,44822304.64
SVK, AUT ,44746730.27
STP, JOR ,44731960.3
EST, SWE ,44652984.34
LTU, DEU ,44549214.92
MLT, CAN ,44397249.56
SMR, PRT ,44381906.86
MDA, ESP ,44227767.44
SYC, USA ,44224286.08
PER, NLD ,44000767.53
EGY, OMN ,43968140.25
ESP, OMN ,43968140.25
MDA, DEU ,43910569.73
CYP, AUS ,43793697.84
BGD, JPN ,43717785.72
LAO, AUS ,43591883.57
SLE, CAN ,43497619.15
DEU, IRL ,43444486.07
ETH, ITA ,43408581.61
OMN, NLD ,43357430.52
BIH, NOR ,43296609.12
KOR, GBR ,43276910.58
BEN, FRA ,43250679.68
IRL, ESP ,43247506.1
ARE, SAU ,43198844.3
NER, CAN ,43138255.92
GBR, PHL ,42996611.16
THA, AUS ,42784626.46
TZA, CAN ,42705553.25
VEN, DNK ,42661080
FRA, JPN ,42630181.99
FRA, CMR ,42204241.31
SAU, USA ,42198169.31
AUS, NLD ,41934723.51
SLB, ETH ,41906446.15
COL, DEU ,41902426.68
PER, CHE ,41857231.83
MEX, DEU ,41772202.84
PSE, GBR ,41750337.4
