HostCode,TargetCode,Amount
AND,ATG,3360
AND,ARG,739200
AND,ARM,22680
AND,ABW,0
AND,AUS,243600
AND,AUT,21000
AND,AZE,40320
AND,BHS,0
AND,BHR,2520
AND,BGD,198240
AND,BRB,3360
AND,BLR,52920
AND,BEL,1369200
AND,BLZ,3360
AND,BEN,17388
AND,BMU,0
AND,BTN,0
AND,BOL,19865.0854
AND,BIH,35280
AND,BWA,0
AND,BRA,33600
AND,BRN,0
AND,BGR,22680
AND,BFA,40572
AND,BDI,11592
AND,KHM,11340
AND,CMR,5796
AND,CAN,50400
AND,CPV,5796
AND,CYM,0
AND,CAF,2898
AND,TCD,8694
AND,CHL,268800
AND,CHN,245700
AND,COL,55860
AND,COM,0
AND,COG,14490
AND,COD,23184
AND,COK,0
AND,CRI,5540.763094
AND,CIV,5796
AND,HRV,15120
AND,CUB,43680
AND,CYP,5040
AND,CZE,16800
AND,DNK,12600
AND,DJI,0
AND,DMA,0
AND,DOM,59240.99256
AND,ECU,39135.48772
AND,EGY,60858
AND,SLV,45926.79326
AND,GNQ,2898
AND,ERI,17388
AND,EST,5040
AND,ETH,8694
AND,FLK,0
AND,FRO,0
AND,FJI,7560
AND,FIN,10080
AND,FRA,24003000
AND,GUF,0
AND,PYF,0
AND,GAB,2898
AND,GMB,2898
AND,GEO,30240
AND,DEU,1189440
AND,GHA,28980
AND,GIB,0
AND,GRC,25200
AND,GRL,0
AND,GRD,3360
AND,GLP,0
AND,GUM,3780
AND,GTM,49447.58338
AND,GIN,17388
AND,GNB,2898
AND,GUY,11520
AND,HTI,30240
AND,HND,32750.71207
AND,HKG,30240
AND,HUN,10080
AND,ISL,0
AND,IND,611520
AND,IDN,71820
AND,IRN,25200
AND,IRQ,27720
AND,IRL,25200
AND,ISR,25200
AND,ITA,524160
AND,JAM,36960
AND,JPN,37800
AND,JOR,17640
AND,KAZ,105840
AND,KEN,14490
AND,KIR,0
AND,PRK,18900
AND,KOR,60480
AND,KWT,10080
AND,KGZ,17640
AND,LAO,15120
AND,LVA,5040
AND,LBN,15120
AND,LSO,0
AND,LBR,2898
AND,LBY,2898
AND,LIE,0
AND,LTU,7560
AND,LUX,0
AND,MAC,3780
AND,MKD,7560
AND,MDG,2898
AND,MWI,2898
AND,MYS,30240
AND,MDV,0
AND,MLI,46368
AND,MLT,2520
AND,MHL,0
AND,MTQ,0
AND,MRT,2898
AND,MUS,5796
AND,MYT,0
AND,MEX,399840
AND,FSM,0
AND,MDA,20160
AND,MCO,0
AND,MNG,0
AND,MSR,0
AND,MAR,1790964
AND,MOZ,23184
AND,MMR,11340
AND,NAM,0
AND,NRU,0
AND,NPL,30240
AND,NLD,813960
AND,ANT,3360
AND,NCL,0
AND,NZL,22680
AND,NIC,28200.37106
AND,NER,14490
AND,NGA,137667.8749
AND,NIU,0
AND,NFK,0
AND,MNP,0
AND,NOR,5040
AND,OMN,0
AND,PAK,120960
AND,PLW,0
AND,PSE,25200
AND,PAN,6720
AND,PNG,3780
AND,PRY,16800
AND,PER,26880
AND,PHL,1880340
AND,POL,55440
AND,PRT,22359960
AND,PRI,63840
AND,QAT,0
AND,REU,0
AND,ROM,46200
AND,RUS,350280
AND,RWA,5796
AND,SHN,0
AND,KNA,0
AND,LCA,3360
AND,SPM,0
AND,VCT,3360
AND,WSM,3780
AND,SMR,0
AND,STP,0
AND,SAU,5040
AND,SEN,14490
AND,SCG,45360
AND,SYC,0
AND,SLE,2898
AND,SGP,11340
AND,SVK,12600
AND,SVN,2520
AND,SLB,0
AND,SOM,17388
AND,ZAF,23184
AND,ESP,144404400
AND,LKA,30240
AND,SDN,17388
AND,SUR,10080
AND,SWZ,0
AND,SWE,173880
AND,CHE,415800
AND,SYR,10080
AND,TWN,22680
AND,TJK,22680
AND,TZA,8694
AND,THA,34020
AND,TLS,0
AND,TGO,5796
AND,TKL,0
AND,TON,3780
AND,TTO,13440
AND,TUN,15120
AND,TUR,78120
AND,TKM,7560
AND,TCA,0
AND,TUV,0
AND,UGA,5796
AND,UKR,171360
AND,ARE,2520
AND,GBR,3137400
AND,USA,389760
AND,URY,336000
AND,UZB,68040
AND,VUT,0
AND,VEN,13440
AND,VNM,83160
AND,VGB,0
AND,VIR,3360
AND,WLF,0
AND,YEM,15120
AND,ZMB,5796
AND,ZWE,8694
AGO,AFG,48000
AGO,ALB,94080
AGO,DZA,181056
AGO,ASM,0
AGO,AND,960
AGO,AGO,0
AGO,AIA,0
AGO,ATG,960
AGO,ARG,13440
AGO,ARM,17280
AGO,ABW,0
AGO,AUS,480000
AGO,AUT,278400
AGO,AZE,29760
AGO,BHS,960
AGO,BHR,960
AGO,BGD,110400
AGO,BRB,2880
AGO,BLR,234240
AGO,BEL,273600
AGO,BLZ,960
AGO,BEN,15847
AGO,BMU,1920
AGO,BTN,0
AGO,BOL,12770.41205
AGO,BIH,155520
AGO,BWA,45448
AGO,BRA,21120
AGO,BRN,0
AGO,BGR,103680
AGO,BFA,36478
AGO,BDI,25714
AGO,KHM,6720
AGO,CMR,4485
AGO,CAN,82560
AGO,CPV,125580
AGO,CYM,0
AGO,CAF,2691
AGO,TCD,8073
AGO,CHL,12480
AGO,CHN,194880
AGO,COL,37440
AGO,COM,2990
AGO,COG,60099
AGO,COD,1677091
AGO,COK,0
AGO,CRI,4749.225509
AGO,CIV,4784
AGO,HRV,72000
AGO,CUB,24960
AGO,CYP,3840
AGO,CZE,225600
AGO,DNK,144000
AGO,DJI,3312
AGO,DMA,960
AGO,DOM,37237.19532
AGO,ECU,22363.13584
AGO,EGY,185472
AGO,SLV,27337.37694
AGO,GNQ,4784
AGO,ERI,35282
AGO,EST,22080
AGO,ETH,18538
AGO,FLK,0
AGO,FRO,0
AGO,FJI,960
AGO,FIN,42240
AGO,FRA,9955200
AGO,GUF,0
AGO,PYF,0
AGO,GAB,1495
AGO,GMB,1196
AGO,GEO,22080
AGO,DEU,530880
AGO,GHA,27807
AGO,GIB,1920
AGO,GRC,112320
AGO,GRL,0
AGO,GRD,1920
AGO,GLP,0
AGO,GUM,0
AGO,GTM,30274.03064
AGO,GIN,15548
AGO,GNB,3289
AGO,GUY,6480
AGO,HTI,17280
AGO,HND,21054.02919
AGO,HKG,15360
AGO,HUN,49920
AGO,ISL,3840
AGO,IND,814080
AGO,IDN,35520
AGO,IRN,17280
AGO,IRQ,20160
AGO,IRL,116160
AGO,ISR,18240
AGO,ITA,404160
AGO,JAM,22080
AGO,JPN,29760
AGO,JOR,12480
AGO,KAZ,78720
AGO,KEN,18538
AGO,KIR,0
AGO,PRK,9600
AGO,KOR,29760
AGO,KWT,4800
AGO,KGZ,13440
AGO,LAO,7680
AGO,LVA,27840
AGO,LBN,11520
AGO,LSO,233818
AGO,LBR,2392
AGO,LBY,6624
AGO,LIE,960
AGO,LTU,39360
AGO,LUX,28800
AGO,MAC,1920
AGO,MKD,30720
AGO,MDG,149799
AGO,MWI,458068
AGO,MYS,15360
AGO,MDV,0
AGO,MLI,41860
AGO,MLT,14400
AGO,MHL,0
AGO,MTQ,0
AGO,MRT,2990
AGO,MUS,251459
AGO,MYT,1495
AGO,MEX,211200
AGO,FSM,0
AGO,MDA,86400
AGO,MCO,1920
AGO,MNG,0
AGO,MSR,0
AGO,MAR,225216
AGO,MOZ,2393196
AGO,MMR,5760
AGO,NAM,75348
AGO,NRU,0
AGO,NPL,17280
AGO,NLD,96000
AGO,ANT,1920
AGO,NCL,0
AGO,NZL,19200
AGO,NIC,17457.37256
AGO,NER,13455
AGO,NGA,120086.9125
AGO,NIU,0
AGO,NFK,0
AGO,MNP,0
AGO,NOR,22080
AGO,OMN,0
AGO,PAK,235200
AGO,PLW,0
AGO,PSE,18240
AGO,PAN,4800
AGO,PNG,0
AGO,PRY,9600
AGO,PER,16320
AGO,PHL,70080
AGO,POL,249600
AGO,PRT,1492800
AGO,PRI,37440
AGO,QAT,0
AGO,REU,0
AGO,ROM,633600
AGO,RUS,1581120
AGO,RWA,15548
AGO,SHN,0
AGO,KNA,960
AGO,LCA,960
AGO,SPM,0
AGO,VCT,960
AGO,WSM,960
AGO,SMR,960
AGO,STP,1196
AGO,SAU,1920
